Title,Ranking,Initial release year,Casting,Rating
      Rashomon,149,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.1
      Jurassic Park,150,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.1
      Kill Bill: Vo,151,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.1
      Finding Nemo,152,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.1
      No Country for Old Men,153,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.1
      Raging Bull,154,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.1
      The Elephant Man,155,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.1
      V for Vendetta,156,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.1
      Gone with the Wind,157,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.1
      Chinatown,158,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.1
      Inside Out,159,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.1
"      Lock, Stock and Two Smoking Barrels",160,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.1
      The Thing,161,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.1
      Dial M for Murder,162,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.1
      The Secret in Their Eyes,163,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.1
      Howl's Moving Castle,164,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.1
      The Bridge on the River Kwai,165,1957,"David Lean (dir.), William Holden, Alec Guinness",8.1
      Trainspotting,166,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.1
"      Three Billboards Outside Ebbing, Missouri",167,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.1
      Warrior,168,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.1
      Gran Torino,169,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.1
      Fargo,170,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.1
      My Neighbor Totoro,171,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.1
      Prisoners,172,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.1
      Million Dollar Baby,173,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.1
      Blade Runner,174,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.1
      The Gold Rush,175,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.1
      Catch Me If You Can,176,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.1
      On the Waterfront,177,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.1
      Children of Heaven,178,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.1
      Harry Potter and the Deathly Hallows: Part 2,179,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.1
      The Third Man,180,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.1
      Gone Girl,181,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.1
      Ben-Hur,182,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.1
